,school_years,mortality_5,poverty_percentage,ferr_rate
215,10.32385,12.5606,2.3,76.014
216,10.00061,13.0853,3.3,82.104
217,10.27027,13.6494,3.1,84.734
218,9.51725,14.0822,2.5,84.553
219,9.05571,14.4205,3.2,86.829
220,9.07367,14.8905,4.4,86.713
221,9.07098,14.8553,3.9,87.957
222,8.97935,15.0358,3.7,89.608
223,8.90659,15.326,4.7,90.734
224,8.82206,15.6291,5.0,91.175
225,8.66035,16.243,6.0,91.915
226,8.5121,16.8401,5.5,93.687
227,8.4371,17.7324,5.9,95.673
228,8.292,21.1778,6.0,98.485
229,8.61215,30.303,11.3,97.981
230,11.93106,5.5169,0.5,10.218
231,11.8486,4.8005,0.5,11.138
232,11.76093,5.512,0.4,11.725
233,11.76877,5.2786,0.9,12.58
234,11.77092,6.4969,0.6,13.726
235,11.86892,2.938,0.1,5.293
236,11.83837,3.0139,0.0,5.364
237,11.70095,3.1172,0.0,6.033
238,11.6168,3.2407,0.0,5.98
239,11.58446,3.3774,0.0,6.133
240,12.20443,3.5316,0.1,6.116
241,12.08906,3.7076,0.0,6.257
242,11.99661,3.9127,0.0,5.922
243,11.93518,4.168,0.0,6.817
244,11.83192,4.4794,0.0,7.277
245,11.73732,4.8271,0.1,8.235
246,14.89236,4.5651,0.1,3.834
247,14.94387,4.0641,0.3,4.247
248,14.61132,3.9228,0.0,4.499
249,14.534,3.9807,0.0,4.643
250,13.28161,3.8881,0.0,5.022
251,13.19947,3.6581,0.1,5.444
252,13.19775,4.6829,0.1,5.835
253,13.26284,4.7396,0.0,5.592
254,13.25888,4.4622,0.0,5.714
255,13.42805,5.0695,0.1,5.521
256,13.45548,5.257,0.2,5.594
257,13.33384,6.1713,0.0,8.169
258,12.85844,6.2335,0.0,9.461
259,12.35243,8.0238,0.5,10.203
260,12.30697,10.3496,0.5,9.839
261,6.53217,70.0855,8.4,24.107
262,6.42378,72.2593,8.4,24.386
263,3.41512,96.1047,6.9,31.0
264,10.79346,34.9712,0.8,97.477
265,10.88486,34.9879,0.8,100.151
266,10.8133,35.0428,1.0,106.089
267,10.9461,35.3283,1.0,109.026
268,11.06019,35.1334,0.9,109.433
269,11.31162,35.2779,1.2,104.701
270,11.14294,35.4434,1.5,105.496
271,11.49055,35.9105,1.7,102.863
272,10.64891,36.3817,2.3,103.28
273,10.53387,38.4423,3.6,105.859
274,11.14347,38.988,2.6,110.884
275,10.645,42.0292,2.4,112.23
276,10.28519,75.3531,2.3,103.871
277,13.1338,15.946,0.8,80.124
278,13.16359,16.6086,1.0,84.146
